date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,6,3,0.0,6.9,1,100,05:00 PM,08:04 AM,07:32 AM,04:03 PM,4,3,5,3,16,64,94,0.8,992,6,5,175,9,budapest
2010-01-02,3,-1,0.0,3.3,1,85,06:25 PM,08:41 AM,07:32 AM,04:04 PM,-0,-3,1,-3,31,75,89,1.7,1003,3,5,286,21,budapest
2010-01-03,-1,-4,0.0,3.3,1,77,07:51 PM,09:10 AM,07:32 AM,04:05 PM,-5,-9,-2,-9,39,82,79,1.7,1016,-1,8,319,26,budapest
2010-01-04,-3,-7,0.0,8.7,2,70,09:12 PM,09:34 AM,07:32 AM,04:06 PM,-7,-8,-4,-8,16,38,80,0.0,1021,-3,10,195,10,budapest
2010-01-05,-3,-5,1.0,3.3,1,63,10:31 PM,09:56 AM,07:31 AM,04:07 PM,-5,-9,-4,-9,25,91,92,1.1,1013,-3,7,90,17,budapest
2010-01-06,-1,-3,1.0,3.3,1,56,11:48 PM,10:16 AM,07:31 AM,04:08 PM,-2,-6,-2,-6,21,97,96,1.9,1002,-1,4,156,14,budapest
2010-01-07,-2,-8,0.7,5.1,1,48,No moonrise,10:37 AM,07:31 AM,04:09 PM,-4,-6,-4,-6,10,56,97,0.8,1012,-2,1,269,5,budapest
2010-01-08,3,-5,0.0,3.3,1,41,01:03 AM,11:01 AM,07:31 AM,04:10 PM,-1,-5,-0,-5,33,88,98,6.6,1013,3,7,85,19,budapest
2010-01-09,6,3,0.0,3.3,1,34,02:16 AM,11:28 AM,07:30 AM,04:12 PM,4,1,4,1,30,97,99,5.2,1004,6,6,82,15,budapest
2010-01-10,6,1,0.0,6.9,1,27,03:27 AM,12:01 PM,07:30 AM,04:13 PM,3,1,4,1,17,82,95,0.5,1007,6,5,252,11,budapest
2010-01-11,3,-2,0.0,8.7,2,19,04:33 AM,12:42 PM,07:29 AM,04:14 PM,-2,-4,0,-4,24,38,88,0.0,1015,3,10,297,16,budapest
2010-01-12,1,-2,0.0,3.3,1,12,05:31 AM,01:31 PM,07:29 AM,04:15 PM,-3,-4,-1,-4,14,67,87,0.1,1018,1,10,288,9,budapest
2010-01-13,0,-4,0.0,8.7,2,5,06:20 AM,02:28 PM,07:28 AM,04:17 PM,-2,-2,-2,-2,6,54,93,0.0,1015,0,5,111,4,budapest
2010-01-14,1,-4,0.0,5.1,1,0,06:59 AM,03:31 PM,07:28 AM,04:18 PM,-2,-2,-2,-2,6,61,93,0.0,1017,1,5,153,3,budapest
2010-01-15,0,-4,0.0,8.7,2,0,07:31 AM,04:36 PM,07:27 AM,04:19 PM,-2,-3,-1,-3,9,16,91,0.0,1024,0,7,170,5,budapest
2010-01-16,1,-4,0.0,8.7,2,2,07:56 AM,05:42 PM,07:27 AM,04:21 PM,-4,-3,-1,-3,10,7,82,0.0,1030,1,8,76,7,budapest
2010-01-17,-0,-4,0.0,5.1,1,10,08:17 AM,06:47 PM,07:26 AM,04:22 PM,-6,-7,-2,-7,20,50,78,0.0,1026,-0,10,120,13,budapest
2010-01-18,-0,-2,1.3,3.4,1,17,08:35 AM,07:52 PM,07:25 AM,04:23 PM,-3,-3,-1,-3,8,98,89,1.5,1025,-0,6,121,5,budapest
2010-01-19,1,-4,0.0,8.7,2,24,08:53 AM,08:56 PM,07:24 AM,04:25 PM,-3,-4,-2,-4,12,46,89,0.0,1023,1,8,315,7,budapest
2010-01-20,-0,-5,0.8,3.4,1,31,09:09 AM,10:01 PM,07:24 AM,04:26 PM,-3,-3,-2,-3,5,80,93,0.9,1018,-0,4,125,3,budapest
2010-01-21,-2,-4,1.1,3.4,1,39,09:27 AM,11:07 PM,07:23 AM,04:28 PM,-4,-7,-3,-7,18,100,88,1.3,1021,-2,7,53,12,budapest
2010-01-22,-3,-6,0.2,3.4,1,46,09:46 AM,No moonset,07:22 AM,04:29 PM,-5,-6,-4,-6,7,91,93,0.2,1027,-3,8,131,4,budapest
2010-01-23,-3,-9,0.0,5.2,1,53,10:08 AM,12:16 AM,07:21 AM,04:31 PM,-6,-9,-5,-9,11,62,94,0.1,1030,-3,6,72,7,budapest
2010-01-24,-4,-10,0.0,8.7,1,60,10:37 AM,01:28 AM,07:20 AM,04:32 PM,-8,-9,-7,-9,9,17,93,0.0,1032,-4,6,82,5,budapest
2010-01-25,-4,-10,0.0,5.2,2,68,11:15 AM,02:41 AM,07:19 AM,04:34 PM,-9,-12,-7,-12,14,58,87,0.0,1036,-4,9,95,9,budapest
2010-01-26,-4,-8,0.0,5.2,1,75,12:04 PM,03:53 AM,07:18 AM,04:35 PM,-10,-9,-6,-9,11,87,74,0.0,1035,-4,10,141,7,budapest
