,n_layer1,n_layer2,dropout_1,dropout_2,act,optim,n_batch,best_val_acc
0,32,64,0.30543815464061785,0.3685849187307607,relu,sgd,256,0.3743000030517578
1,512,64,0.34875377644265604,0.2576404324807245,relu,rmsprop,256,0.4614000022411346
2,512,128,0.2811907528782607,0.19749681333133445,leakyrelu,adam,128,0.4977000057697296
3,128,64,0.4987765704119526,0.4956006935248156,relu,adam,64,0.19120000302791595
4,256,256,0.4482560975599062,0.01661663926204826,relu,rmsprop,256,0.4332999885082245
5,256,128,0.2133592523277144,0.476214453878397,leakyrelu,sgd,64,0.4643999934196472
6,128,32,0.4776618748329053,0.35951860246769524,leakyrelu,rmsprop,64,0.4332999885082245
7,64,256,0.15558215712484352,0.10335018012758562,leakyrelu,sgd,256,0.4521999955177307
8,256,128,0.3935331875907188,0.26231558578594605,leakyrelu,rmsprop,128,0.4514999985694885
9,256,32,0.3723145253362706,0.06045109560475492,leakyrelu,adam,128,0.4932000041007996
10,256,256,0.0005026407453514459,0.3101937889491447,relu,adam,256,0.5083000063896179
11,32,512,0.06628078695650813,0.4728743661166381,relu,adam,256,0.3522999882698059
12,128,256,0.3711607561151882,0.10754887185683942,leakyrelu,adam,256,0.4984000027179718
13,512,64,0.32156402247410404,0.35511546324589943,relu,rmsprop,128,0.4447000026702881
14,64,32,0.24774418507814586,0.2335888161661162,leakyrelu,adam,128,0.4754000008106232
15,32,64,0.21104444989285745,0.456281059431072,leakyrelu,adam,128,0.4627000093460083
16,64,64,0.2403674476197581,0.2077411591002677,relu,adam,64,0.10000000149011612
17,64,32,0.20855937320102785,0.26921182424582785,relu,rmsprop,64,0.3328999876976013
18,64,32,0.19378913952416787,0.180585799146572,leakyrelu,rmsprop,256,0.43639999628067017
19,512,32,0.4113277286717177,0.008747168043419018,relu,adam,128,0.458299994468689
20,128,256,0.031248316173162594,0.15795690460671266,leakyrelu,adam,256,0.5351999998092651
21,128,256,0.013531089184314598,0.313728821490024,relu,adam,256,0.4648000001907349
22,128,256,0.09965389374479316,0.14682126547295382,relu,adam,256,0.498199999332428
23,256,512,0.0048115954372064005,0.3138368680898326,leakyrelu,sgd,256,0.4765999913215637
24,128,256,0.050761863961787716,0.4324189311663832,relu,adam,256,0.4726999998092651
25,256,256,0.12207083613269823,0.13560320426209072,leakyrelu,adam,256,0.5266000032424927
26,128,256,0.13774997217521126,0.15229338543378862,leakyrelu,adam,256,0.5112000107765198
27,256,256,0.11097165484723187,0.05373011432848567,leakyrelu,sgd,256,0.4706000089645386
28,32,512,0.043356268414897536,0.10746766068946907,leakyrelu,adam,256,0.5116000175476074
29,256,256,0.15401990549506556,0.05456779840955692,leakyrelu,sgd,256,0.4496999979019165
30,128,256,0.0862332033148596,0.14530407457369346,leakyrelu,adam,256,0.5235999822616577
31,512,128,0.02654302995651247,0.22467882475903972,leakyrelu,adam,256,0.5185999870300293
32,32,256,0.2922561274367771,0.08897573227533452,leakyrelu,adam,64,0.472000002861023
33,128,512,0.1684100156160605,0.17095871437134666,leakyrelu,adam,256,0.53329998254776
34,128,512,0.1681020675194185,0.18627135440678508,leakyrelu,sgd,256,0.441100001335144
35,128,512,0.26887242692981395,0.17532130048177122,leakyrelu,adam,64,0.4708999991416931
36,128,512,0.08061584724918794,0.2862992900772577,leakyrelu,rmsprop,256,0.4740000069141388
37,128,512,0.3274166209250621,0.4060710453687641,leakyrelu,sgd,256,0.4663999974727631
38,128,128,0.18105191002600288,0.024260046527666,leakyrelu,adam,64,0.5133000016212463
39,128,512,0.1371126065361335,0.21557763494982585,leakyrelu,adam,256,0.5354999899864197
40,512,128,0.12508121393817373,0.21303692857253514,leakyrelu,rmsprop,128,0.4808000028133392
41,128,64,0.032473996388265085,0.3887955260693917,leakyrelu,adam,256,0.4796999990940094
42,32,512,0.06757098404870507,0.2469013495017216,leakyrelu,sgd,64,0.4666999876499176
43,128,512,0.2310197493271487,0.08547954188466593,leakyrelu,adam,256,0.520799994468689
44,512,128,0.1475754593909112,0.3485498895536597,leakyrelu,rmsprop,128,0.434799998998642
45,128,64,0.2664101768932311,0.12588412973367644,leakyrelu,adam,256,0.4941999912261963
46,64,512,0.060350243972447364,0.27508606501225463,leakyrelu,adam,128,0.5206999778747559
47,128,32,0.0939169063717683,0.3379684164444317,relu,rmsprop,256,0.4350999891757965
48,32,64,0.4596855819890232,0.2401187707744841,leakyrelu,adam,64,0.42170000076293945
49,64,128,0.191266996802814,0.0335744120035336,relu,sgd,256,0.4562999904155731
50,128,256,0.0007469749093808771,0.2939889019605737,leakyrelu,adam,128,0.5153999924659729
51,512,32,0.031231222564822983,0.19938755079580264,leakyrelu,adam,256,0.5063999891281128
52,128,512,0.22180671079808068,0.08071041235483517,relu,rmsprop,64,0.4119000136852264
53,64,256,0.1346847672855268,0.12508958287392424,leakyrelu,adam,256,0.5216000080108643
54,32,64,0.3163821130241791,0.1599885793533881,leakyrelu,adam,128,0.4702000021934509
